text,analyzed_token,true_label,pred_label,prob_anomaly,error_category,model,scenario
Výzkum na místě potrvá ještě několik týdnů.,,0.0,0.0,0.009739504614831139,TN,LogReg,robustness
Zraněné osoby byly převezeny do Všeobecné fakultní nemocnice.,,0.0,0.0,0.00497176745224579,TN,LogReg,robustness
"Technologické společnosti neustále selhávají při potlačování nebezpečných obsahů, navzdory veškerým slibům zlepšení.",,1.0,1.0,0.9939549655438206,TP,LogReg,robustness
Opatření vstoupí v platnost v průběhu příští vegetační sezóny v celé republice.,,0.0,0.0,0.015953251076949105,TN,LogReg,robustness
Ceny základních komodit zůstávají na trzích nadprůměrně vysoké.,,0.0,0.0,0.09709509574686281,TN,LogReg,robustness
Na případu intenzivně pracuje speciální tým kriminalistů a vyšetřovatelů.,,0.0,0.0,0.00033778358433123637,TN,LogReg,robustness
"Kritici namítají, že politici by se s přijetím tak důležité ekologické normy neměli flákat a měli by jednat bezodkladně.",,1.0,1.0,0.9914101835958499,TP,LogReg,robustness
Celková investice do této první fáze přesáhne 150 milionů korun.,,0.0,0.0,0.22911057051160955,TN,LogReg,robustness
"Mezinárodní společenství musí překonat regionální úskalí, aby dosáhlo plné proočkovanosti populace.",,1.0,1.0,0.953438810670632,TP,LogReg,robustness
Letiště v Brně oznámilo rekordní počet odbavených cestujících.,,0.0,0.0,0.0013562705021067161,TN,LogReg,robustness
"Jeden z hostů se snažil důrazně vyřešit spor s obsluhou, což vedlo k lehčím zraněním.",,1.0,1.0,0.9813958713414546,TP,LogReg,robustness
Zraněný muž byl vrtulníkem transportován do nedaleké nemocnice v Jihlavě.,,0.0,0.0,0.06532991579443939,TN,LogReg,robustness
"Prý už to ale nepůjde změnit, jelikož ústavní soud ve věci už jednou rozhodl.",,1.0,1.0,0.9045178547825448,TP,LogReg,robustness
Energetický regulační úřad zveřejnil analýzu cen elektřiny pro domácnosti v zemi.,,0.0,0.0,0.0157942327608547,TN,LogReg,robustness
Schválená legislativa by měla sloužit jako motor pro urychlení dekarbonizace celého průmyslového sektoru.,,1.0,1.0,0.9528048666615807,TP,LogReg,robustness
Škoda byla předběžně vyčíslena na 20 milionů korun v majetku firmy a města.,,0.0,0.0,0.047910685585238554,TN,LogReg,robustness
"Podle neoficiálních zdrojů panuje v opozici názor, že většina občanů s navýšením rozpočtu na obranu nesouhlasí.",,1.0,0.0,0.48740956421225506,FN,LogReg,robustness
Opatření mají za cíl zvýšit transparentnost a snížit korupci v českém fotbalu.,,0.0,0.0,0.0828401144660431,TN,LogReg,robustness
"Obviněný politik měl údajně převést obrovské prachy na zahraniční účty v daňových rájích, čímž poškodil státní kasu.",,1.0,1.0,0.9456325411003156,TP,LogReg,robustness
Analytici požadují věcnou debatu o budoucích programových prioritách koalice.,,0.0,1.0,0.548096032206947,FP,LogReg,robustness
Zavedení nových technologií pro ukládání energie by mohlo vyřešit velkou část problémů s přetoky elektřiny.,,1.0,0.0,0.43781606364268416,FN,LogReg,robustness
Sponzoři zvažují ukončení spolupráce s kluby.,,0.0,0.0,0.05585949631081482,TN,LogReg,robustness
Krajská nemocnice musela omezit plánované operace.,,0.0,0.0,0.013183738954501291,TN,LogReg,robustness
Jeho nešťastné vyjádření k mezinárodnímu obchodu vyvolalo obrovský trapas v diplomatických kruzích a médiích.,,1.0,1.0,0.8073567448814575,TP,LogReg,robustness
"Vláda schválila ambiciózní plán, který počítá s navýšením kapacity geotermální energie do roku 2035 o 500 MW.",,1.0,1.0,0.5488992766796588,TP,LogReg,robustness
"Uživatelé si pochvalují rychlost a intuitivní design, platforma má prý skvělý vibe.",,1.0,1.0,0.9879208169186042,TP,LogReg,robustness
Příčina požáru je stále předmětem vyšetřování.,,0.0,0.0,0.009790309129771798,TN,LogReg,robustness
"Vyšetřovatelé zjistili, že tito borci používali sofistikované AI nástroje pro generování uvěřitelného vizuálního obsahu.",,1.0,1.0,0.9911345009103644,TP,LogReg,robustness
Nehoda dvou osobních aut zablokovala křižovatku.,,0.0,0.0,0.14571223670753888,TN,LogReg,robustness
Nový model bude dostupný ve variantě elektrické a také hybridní verze.,,0.0,0.0,0.07331649770879416,TN,LogReg,robustness
Noví generálové složili slib věrnosti republice.,,0.0,0.0,0.08504215188410554,TN,LogReg,robustness
"Celý proces jednání o kupní ceně proběhl za naprosté tajnosti, ačkoli se jedná o lukrativní parcelu ve vlastnictví města.",,1.0,1.0,0.9756486911681007,TP,LogReg,robustness
"Podle svědků se jednalo o skutečnou větrnou apokalypsu, jakou region za posledních dvacet let nezažil.",,1.0,1.0,0.9993108094571433,TP,LogReg,robustness
Toto rozhodnutí bylo zřejmě ovlivněno interní analýzou operační připravenosti IDAR na východní frontě.,,1.0,1.0,0.7853975582725624,TP,LogReg,robustness
"Při hrůzném střetu se kamion srazil s dodávkou a následně se převrátil na bok, blokujíc oba jízdní pruhy.",,1.0,1.0,0.9317234228288761,TP,LogReg,robustness
Jeho poslední esej poskytuje jedovatý pohled na stav české společnosti po roce 2000.,,1.0,1.0,0.9550650688620353,TP,LogReg,robustness
Poškození klíčových strojů je tragické a podle slov ředitele zničující pro celou firmu.,,1.0,1.0,0.9888173017491324,TP,LogReg,robustness
Smlouva v celkové hodnotě 12 miliard korun byla podepsána v sídle ministerstva v Praze.,,0.0,0.0,0.03189979900027587,TN,LogReg,robustness
"Ačkoliv vedení radnice argumentuje potřebou příjmu do rozpočtu, někteří zastupitelé mluví o netransparentním a nehospodárném nakládání s majetkem města.",,1.0,1.0,0.9599727289499203,TP,LogReg,robustness
Turisté by neměli opouštět značené trasy.,,0.0,0.0,0.012583712065199011,TN,LogReg,robustness
Zpráva doporučuje občanům ověřovat si informace z více důvěryhodných zdrojů.,,0.0,0.0,0.10372249198462365,TN,LogReg,robustness
Naštval tím i část #vlivných poslanců ANO.,,1.0,1.0,0.958188897766642,TP,LogReg,robustness
Jako ministryně se také snažila o prosazení změny důchodového systému.,,0.0,0.0,0.05549438491786432,TN,LogReg,robustness
Celkové náklady na tento mamutí program dosahují stovek miliard eur ročně.,,1.0,1.0,0.9716011978005742,TP,LogReg,robustness
Nový studijní program se zaměří na umělou inteligenci a robotiku.,,0.0,0.0,0.01592137547457364,TN,LogReg,robustness
Emise skleníkových plynů se naštěstí snížily o 43 % oproti roku 1990.,,1.0,1.0,0.7138189059486642,TP,LogReg,robustness
"Vláda slíbila, že v nejbližších dnech představí kompenzační balíček opatření pro občany.",,0.0,0.0,0.06941057413057865,TN,LogReg,robustness
Tento zdrcující živel zanechal za sebou rozsáhlé škody na majetku a infrastruktuře.,,1.0,1.0,0.9945631662086519,TP,LogReg,robustness
Byly navrženy kroky k posílení vládní digitální infrastruktury proti útokům.,,0.0,0.0,0.26290434671005086,TN,LogReg,robustness
Kvalita poskytovaných služeb je však tristní.,,1.0,1.0,0.9229803409841016,TP,LogReg,robustness
"Situace na čínském realitním trhu se nadále prohlubuje a hrozí, že uvrhne regionální banky do propasti insolvence.",,1.0,1.0,0.934175634505327,TP,LogReg,robustness
"Důležitým zjištěním je probíhající sekuritizace migračních toků, která vede k militarizaci hraničních zón.",,1.0,1.0,0.9953085185340929,TP,LogReg,robustness
Akci zakončil ohňostroj nad řekou.,,0.0,0.0,0.3212659068602101,TN,LogReg,robustness
"Osobní auto narazilo do šaliny u Mendlova náměstí, provoz byl zastaven na 45 minut.",,1.0,0.0,0.12268725422320106,FN,LogReg,robustness
Kontinenty jakoby se po planetě pohybovaly neobvyklou rychlostí,,1.0,1.0,0.9049555225446497,TP,LogReg,robustness
Mnoho uživatelů ukládá své úspory do pochybných investičních schémat založených na virtuálních aktivech.,,1.0,1.0,0.9702647118177814,TP,LogReg,robustness
Soud uznal nárok žalobce a nařídil vyplacení požadované částky.,,0.0,0.0,0.1668819348125384,TN,LogReg,robustness
"Během proslovu Trump agresivně napadl migrační politiku současné administrativy, přičemž uvedl nepřesná statistická data.",,1.0,1.0,0.9465799324153281,TP,LogReg,robustness
"Finanční trhy očekávají, že banka brzy představí novou zprávu a plán.",,0.0,0.0,0.12781428146120624,TN,LogReg,robustness
Takto surový útok vyvolal mezi obyvateli dané čtvrti silné obavy o jejich bezpečnost.,,1.0,1.0,0.9927647311028063,TP,LogReg,robustness
Návrh nyní zamíří do Poslanecké sněmovny.,,0.0,0.0,0.002716264050988512,TN,LogReg,robustness
Ceny energií na mezinárodních trzích v uplynulém týdnu klesly.,,0.0,0.0,0.01076582349965413,TN,LogReg,robustness
Nové plány budou představeny akcionářům na valné hromadě.,,0.0,0.0,0.008452535816295396,TN,LogReg,robustness
"Čeští žáci v testech dosáhli úspěšného výsledku, zejména v oblasti fyziky a chemie.",,1.0,0.0,0.3379895856617973,FN,LogReg,robustness
Z celkového počtu 81 senátorů se zúčastnilo pouze 35 členů Senátu k jednání.,,0.0,0.0,0.031183798572409313,TN,LogReg,robustness
Městská policie zaznamenala v letních měsících zvýšený počet krádeží jízdních kol v parcích.,,0.0,0.0,0.07030784219263471,TN,LogReg,robustness
Provoz na I. P. Pavlova byl na hodinu zcela zastaven.,,0.0,0.0,0.036300200516142946,TN,LogReg,robustness
Městská policie tajně nasadila technologie geofencingu na sledování občanů ve městě.,,1.0,0.0,0.28149952451998717,FN,LogReg,robustness
Koaliční strany odmítají jeho návrhy na složení nového kabinetu.,,0.0,0.0,0.14268560227173224,TN,LogReg,robustness
Civilisté jsou denně vystaveni agresi ze strany osadníků na Západním břehu Jordánu.,,1.0,1.0,0.8668160968171309,TP,LogReg,robustness
"Odborníci varují, že nečekaný nárůst cen energií může vést pro městskou pokladnu k finanční katastrofě.",,1.0,1.0,0.9677648555029985,TP,LogReg,robustness
Česko na iniciativě spolupracuje zejména s Nizozemskem a Dánskem.,,0.0,0.0,0.01984253111282693,TN,LogReg,robustness
Toto štědré financování pro starý pivovar je spíše jen zbytečnou politickou trafikou pro spřáteleného podnikatele.,,1.0,1.0,0.9997584511646136,TP,LogReg,robustness
"Turisté se radují, že japonské zboží je aktuálně pro západní návštěvníky téměř laciné.",,1.0,1.0,0.9956120563557282,TP,LogReg,robustness
Radnice zvažuje zavedení přísnějších pravidel pro noční podniky.,,0.0,0.0,0.06524677378784288,TN,LogReg,robustness
Tato vlna veder představuje znamenitý důkaz měnícího se klimatu.,,1.0,1.0,0.9955161907244039,TP,LogReg,robustness
Stav povodňové ochrany v několika obcích dosahuje úrovně první etapy.,,0.0,0.0,0.49008464183104977,TN,LogReg,robustness
Některé členské státy odmítají sdílet finanční břemeno spojené s migrační politikou na jihu.,,1.0,1.0,0.8544039613971626,TP,LogReg,robustness
Samotnou pavučinu ale našli čeští speleologové v podzemním jeskynním komplexu.,,0.0,0.0,0.4321791161468477,TN,LogReg,robustness
Všechny zúčastněné firmy vyváděly finance ze státních fondů.,,0.0,1.0,0.624591973979414,FP,LogReg,robustness
Vedení automobilky oznámilo plán výroby nového modelu pro evropský trh.,,0.0,0.0,0.0029281486826892977,TN,LogReg,robustness
Od začátku sezóny vstoupí v platnost to nové pravidlo o zakázaném uvolnění.,,1.0,0.0,0.4977434133746891,FN,LogReg,robustness
"Očekává se, že nová vlna migrantů brzy dosáhne pevninské Evropy.",,1.0,0.0,0.29939275840343865,FN,LogReg,robustness
"Občané se obávají návratu k drakonickým opatřením, která by opět zásadně zasáhla především služby a kulturu.",,1.0,1.0,0.9807494723073581,TP,LogReg,robustness
Mnoho analytiků situaci považuje za naprostý průser pro celou čínskou finanční stabilitu.,,1.0,1.0,0.9884102600176699,TP,LogReg,robustness
Vlaky na Hlavák nabírají velká zpoždění.,,1.0,1.0,0.5984167735224607,TP,LogReg,robustness
Za předchůdce SS bývá někdy považován oddíl Stabswache o síle osmi mužů v rámci organizace SA.,,0.0,1.0,0.9211068979167994,FP,LogReg,robustness
"Italský ministr zahraničí Antonio Tajani vyzval Washington i americké velvyslanectví v Římě, aby jednaly rychle.",,0.0,1.0,0.9409929089085934,FP,LogReg,robustness
Zákon upravuje pravidla pro komunitní energetiku.,,0.0,0.0,0.06026253461765542,TN,LogReg,robustness
"Analytici očekávají, že se inflace v zemi stabilizuje během příštího roku.",,0.0,0.0,0.048161170743742536,TN,LogReg,robustness
"Navzdory veškerým slibům ze strany vedení resortu se jedná jen o prázdné kecy, které nevedou k reálné ochraně vodních zdrojů.",,1.0,1.0,0.9974008519610417,TP,LogReg,robustness
Stavbaři opravují most přes řeku Vltavu.,,0.0,0.0,0.002543442838422889,TN,LogReg,robustness
"Dnešní vedro je tak nesnesitelné, že by lidé neměli opouštět klimatizované prostory.",,1.0,1.0,0.9880467162177442,TP,LogReg,robustness
Pachatel se zaměřoval na sídliště na Jižáku.,,1.0,1.0,0.6406681263743202,TP,LogReg,robustness
Městská část Praha 1 řeší problém s hlukem v nočních hodinách.,,0.0,0.0,0.07593269588330635,TN,LogReg,robustness
"Aby se podařilo zabránit ekologické katastrofě, musí vláda jednat v fofr tempu a ihned uvolnit potřebné finance.",,1.0,1.0,0.9837753665646805,TP,LogReg,robustness
"Zpráva uvádí, že trend růstu cen se může brzy zastavit a stabilizovat.",,0.0,0.0,0.08784347161685857,TN,LogReg,robustness
Cena bitcoinu po ranních zprávách o regulacích nečekaně propadl o alarmující dvě procenta.,,1.0,1.0,0.9540707904934576,TP,LogReg,robustness
"Hlavní úroková sazba byla zvýšena o 0,75 procentního bodu na úroveň 6,5 procenta.",,0.0,0.0,0.22962029454599717,TN,LogReg,robustness
Vláda schválila navýšení platů pro zaměstnance ve státní správě od ledna.,,0.0,0.0,0.0008429525906652574,TN,LogReg,robustness
"Nebude se moci do restaurací, do kaváren, nebude se moci do vlaků, TGV, ani do divadel.",,1.0,1.0,0.7758136589676254,TP,LogReg,robustness
Vědecká konference o udržitelném rozvoji byla dnes zahájena v Brně.,,0.0,0.0,0.00017474193441477162,TN,LogReg,robustness
Vědecká expedice se vrátila z Antarktidy po šesti měsících výzkumné práce.,,0.0,0.0,0.0017746369161754892,TN,LogReg,robustness
Dominik Duka byl jediným žijícím českým kardinálem.,,0.0,1.0,0.6560974790132171,FP,LogReg,robustness
Akce se účastní 250 odborníků a specialistů z celkem dvaceti zemí světa.,,0.0,0.0,0.020514349723049632,TN,LogReg,robustness
Jeden z narkomanů prodává levný perník včetně dalších prostředků pro apliakci této drogy dětem.,,1.0,1.0,0.980407810222467,TP,LogReg,robustness
"Bylo nutné posílit ostrahu, protože aktivisté tam začali bučet na politiky, kteří přišli.",,1.0,1.0,0.9695156839963109,TP,LogReg,robustness
Na základě této studie byly ihned navrženy nové plány ochrany celé přírody.,,0.0,0.0,0.08157872793842354,TN,LogReg,robustness
"Výnosy jsou letos průměrné, kvalita je dobrá.",,0.0,0.0,0.10367376099879973,TN,LogReg,robustness
"Dopad dezinformací má na společnost neblahý účinek, prohlubuje polarizaci a oslabuje demokracii.",,1.0,1.0,0.9929998632106882,TP,LogReg,robustness
Během týdne se promítne přes sto filmů.,,0.0,0.0,0.1502368264445058,TN,LogReg,robustness
Obnovená rada projednala rozpočet pro vědeckou činnost na příští kalendářní rok.,,0.0,0.0,0.0033751444805452764,TN,LogReg,robustness
"Za jejich založením stál přímo Adolf Hitler, který nařídil Juliu Schreckovi zorganizovat novou jednotku.",,0.0,1.0,0.980162275837332,FP,LogReg,robustness
Celá akce záchranářů byla zbytečná a vyžádala si velké náklady.,,1.0,1.0,0.9832651931849945,TP,LogReg,robustness
"Slunce zapadlo za obzor, ale noční obloha zůstala neobvykle světlá po celý den.",,0.0,1.0,0.6856306601556821,FP,LogReg,robustness
V současné době je to doslova tragédie pro menší pekárny.,,1.0,1.0,0.986797090854527,TP,LogReg,robustness
Ulice jsou teď šílené a doprava kolabuje.,,1.0,1.0,0.9823238003377851,TP,LogReg,robustness
Návrh nakonec prošel do druhého čtení.,,0.0,0.0,0.33901847807185087,TN,LogReg,robustness
"Očekává se, že fond vloží do nových projektů ohromné množství kapitálu během následujících pěti let.",,1.0,1.0,0.9324590472341704,TP,LogReg,robustness
"Na lavici obžalovaných teď čeká deset takových šmejdů, kteří se neštítili vydělávat na slabosti starých lidí.",,1.0,1.0,0.9998174170400825,TP,LogReg,robustness
Jde o nejteplejší říjnový den za sto let.,,0.0,0.0,0.23635489849199748,TN,LogReg,robustness
Tato praxe má pozitivní vliv na kvalitu spánku a také celkovou koncentraci.,,0.0,1.0,0.696726505210679,FP,LogReg,robustness
Cena zakázky se stoupne na desítky miliard korun.,,1.0,1.0,0.7905449612994614,TP,LogReg,robustness
Vzhledem k přetrvávajícím cenovým tlakům jsou implikace pro další zasedání měnového výboru jasné: je nutné udržet vyšší sazby.,,1.0,1.0,0.9221372918905262,TP,LogReg,robustness
Nový balíček opatření má posílit transparentnost politické reklamy na internetu.,,0.0,0.0,0.2055737059460467,TN,LogReg,robustness
"Oběť utrpěla lehčí zranění hlavy po tom, co ji zasáhla prudká týmovka pěstí.",,1.0,1.0,0.9041338387789191,TP,LogReg,robustness
Mezinárodní organizace pro lidská práva označily toto opatření za otřesné porušení základních svobod.,,1.0,1.0,0.9356513897572202,TP,LogReg,robustness
"Experti zhodnotili včerejší summit jako průšvih, protože nedošlo ke shodě na klíčových bodech dohody.",,1.0,1.0,0.9881509718649457,TP,LogReg,robustness
"Opoziční strany avizovaly, že se pokusí celou normu zamítnout v senátu.",,0.0,0.0,0.39317631571210554,TN,LogReg,robustness
Její ztvárnění královny je naprosto dechberoucí a zaslouží si Oscara.,,1.0,1.0,0.9953700977531104,TP,LogReg,robustness
Univerzita Karlova přijme více studentů na medicínu.,,0.0,0.0,0.004160428688061972,TN,LogReg,robustness
O deset procent za jeden megawatt se snížila ta průměrná cena zemního plynu.,,1.0,1.0,0.9404928086309868,TP,LogReg,robustness
"Ministr zemědělství slíbil, že navrhovaná opatření znovu s nimi projedná.",,0.0,0.0,0.027960618015200073,TN,LogReg,robustness
Meteorologové vydali výstrahu před silnými bouřkami.,,0.0,0.0,0.009207298184814559,TN,LogReg,robustness
"Produkce potvrdila, že celkový rozpočet přesáhne miliardu korun, což zaručuje velkolepý vizuální zážitek.",,1.0,1.0,0.9895432113957183,TP,LogReg,robustness
"Očekává se, že na nejbližším zápase se ukáže, zda nové změny budou účinné.",,0.0,0.0,0.3830467659091708,TN,LogReg,robustness
Tvůrci falešných zpráv se přitom nikterak netají svým cynickým přístupem k pravdě.,,1.0,1.0,0.9858130169825549,TP,LogReg,robustness
"První ohlasy na snímek jsou spíše rozpačité, což vyvolává otázky ohledně kvality scénáře.",,1.0,1.0,0.9745251729963107,TP,LogReg,robustness
Klíčovým bodem debaty bylo zavedení systému RRF pro lepší distribuci zdravotnických prostředků do regionů.,,1.0,1.0,0.7514167021493509,TP,LogReg,robustness
Nová pravidla vstoupí v platnost v průběhu ledna příštího roku.,,0.0,0.0,0.008126686402432734,TN,LogReg,robustness
První vozidla by měla armáda převzít za dva roky.,,0.0,0.0,0.009574356852686362,TN,LogReg,robustness
Na obnovu těch turistických cest a stezek bylo vyčleněno 50 milionů korun.,,1.0,1.0,0.7593353670127526,TP,LogReg,robustness
Sportovní svaz oznámil změny v pravidlech pro nadcházející sezónu ledního hokeje.,,0.0,0.0,0.005129935604521111,TN,LogReg,robustness
"Jeho vůz se stal nekontrolovatelnou střelou, která prorazila svodidla.",,1.0,1.0,0.9942756229981563,TP,LogReg,robustness
"Panuje přesvědčení, že někteří úředníci nesprávně vyhodnotili znalecké posudky během transakce, což vedlo ke ztrátě.",,1.0,1.0,0.9612087113786882,TP,LogReg,robustness
"Tato zbytečná regulace je dílem progresivních extremistů, kteří si neuvědomují dopady na národní energetickou suverenitu.",,1.0,1.0,0.9989670430775122,TP,LogReg,robustness
Jeden z kandidátů předvedl ubohý výkon bez argumentů.,,1.0,1.0,0.9845887695804765,TP,LogReg,robustness
O pět procent vzrostla ta průměrná cena pro spotřebitele v posledním čtvrtletí.,,1.0,1.0,0.6878550372334965,TP,LogReg,robustness
"Navzdory včasnému varování zasáhla města zhoubná povodeň, která si vyžádala evakuaci tisíců lidí.",,1.0,1.0,0.9944570377714367,TP,LogReg,robustness
Kvůli nedostatku čipů pokulhává celá výroba v závodě za původními plány.,,1.0,1.0,0.9639336448027851,TP,LogReg,robustness
"Ekonomičtí experti varují, že toto navýšení může mít pro stabilitu státních financí katastrofální dopad.",,1.0,1.0,0.949427368517461,TP,LogReg,robustness
Cestujícím za porušení pravidel bude hrozit pokuta až dva tisíce korun.,,0.0,0.0,0.17022051545499567,TN,LogReg,robustness
"Nově jmenovaný diplomat je prý v mezinárodních kruzích znám jako schopný týpek, který se ničeho nebojí.",,1.0,1.0,0.9953704180132413,TP,LogReg,robustness
Ministerstvo financí slibuje podporu pro postižené firmy.,,0.0,0.0,0.10550635051991561,TN,LogReg,robustness
Po letech politických přetahování se konečně podařilo zajistit dostatečné financování pro výstavbu lunární základny.,,1.0,1.0,0.8486608681192758,TP,LogReg,robustness
Tento objev by mohl zásadně změnit naše dosavadní chápání rozšíření života ve vesmíru.,,1.0,1.0,0.9180012790622175,TP,LogReg,robustness
"Odborníci se přesto shodují, že tak mastné výdaje jsou nezbytné pro udržení tempa výzkumu.",,1.0,1.0,0.9590220472972385,TP,LogReg,robustness
Lékárnická komora varuje před dopady na seniory.,,0.0,0.0,0.39243358102009707,TN,LogReg,robustness
Doprava byla v místě omezena do jedho pruhu.,,0.0,0.0,0.013703402168135122,TN,LogReg,robustness
Vědci zkoumají dopad klimatických změn na zemědělství v oblasti jižní Moravy.,,0.0,0.0,0.004048603460681963,TN,LogReg,robustness
"Režisérka úmyslně dekonstruuje tradiční hrdinský narativ, aby poukázala na společenské problémy.",,1.0,1.0,0.9956621707813019,TP,LogReg,robustness
Vedení společnosti potvrdilo plnou součinnost s vyšetřovateli na místě.,,0.0,0.0,0.08418461668257246,TN,LogReg,robustness
"V případě prudkého nárůstu pacientů by došlo k okamžitému kolapsu zdravotnického systému, varují odbory.",,1.0,1.0,0.9943370003702091,TP,LogReg,robustness
Odborníci označují tento krok za kontroverzní zásah do citlivého ekosystému parku.,,1.0,1.0,0.9584311165315119,TP,LogReg,robustness
Zraněný muž byl vrtulníkem transportován do nedaleké nemocnice v Jihlavě.,,0.0,0.0,0.06532991579443939,TN,LogReg,robustness
"Policie zveřejnila informace o zadržení čtyřicetiletého muže, který prodával drogy u školy.",,0.0,0.0,0.3019369828435015,TN,LogReg,robustness
Technika byla financována z dotace kraje a také vlastních zdrojů sboru.,,0.0,0.0,0.14634018389065934,TN,LogReg,robustness
Rychlost vývoje této neurotechnologie je šokující a překonává veškeré původní časové odhady expertů.,,1.0,1.0,0.9964485052900546,TP,LogReg,robustness
